d,o,h,l,c,v
2020-05-17 02:00:00,201.41000000,202.27000000,201.37000000,202.04000000,15019.19299000
2020-05-17 02:30:00,202.03000000,202.30000000,201.69000000,201.72000000,8229.76188000
2020-05-17 03:00:00,201.72000000,201.97000000,201.34000000,201.93000000,9605.82088000
2020-05-17 03:30:00,201.89000000,202.13000000,201.43000000,201.53000000,11583.89033000
2020-05-17 04:00:00,201.52000000,202.09000000,201.34000000,201.69000000,7120.29799000
2020-05-17 04:30:00,201.67000000,201.69000000,200.59000000,201.10000000,13911.91962000
2020-05-17 05:00:00,201.10000000,201.48000000,201.05000000,201.08000000,5699.11689000
2020-05-17 05:30:00,201.10000000,201.23000000,200.52000000,201.03000000,3887.28394000
2020-05-17 06:00:00,201.08000000,201.65000000,200.87000000,201.48000000,4333.09142000
2020-05-17 06:30:00,201.49000000,202.39000000,201.49000000,202.23000000,9363.17112000
2020-05-17 07:00:00,202.23000000,202.69000000,201.71000000,201.84000000,17490.67801000
2020-05-17 07:30:00,201.86000000,202.28000000,201.83000000,202.14000000,7007.76980000
2020-05-17 08:00:00,202.15000000,202.29000000,201.04000000,201.37000000,14769.62490000
2020-05-17 08:30:00,201.36000000,201.70000000,201.00000000,201.12000000,6289.18061000
2020-05-17 09:00:00,201.13000000,201.52000000,200.80000000,201.48000000,5386.86767000
2020-05-17 09:30:00,201.49000000,202.05000000,201.11000000,201.37000000,11366.90209000
2020-05-17 10:00:00,201.38000000,201.92000000,201.32000000,201.87000000,7070.39885000
2020-05-17 10:30:00,201.86000000,201.93000000,201.51000000,201.81000000,5212.97578000
2020-05-17 11:00:00,201.77000000,201.93000000,200.89000000,201.31000000,9407.27888000
2020-05-17 11:30:00,201.31000000,201.50000000,201.11000000,201.29000000,5600.14079000
2020-05-17 12:00:00,201.29000000,205.09000000,201.28000000,205.00000000,100313.23491000
2020-05-17 12:30:00,204.99000000,207.45000000,204.38000000,206.89000000,64485.73274000
2020-05-17 13:00:00,206.87000000,207.63000000,206.12000000,206.89000000,54568.74237000
2020-05-17 13:30:00,206.88000000,207.09000000,206.09000000,206.92000000,14153.95950000
