d,o,h,l,c,v
2020-05-18 22:00:00,9686.23000000,9747.35000000,9666.67000000,9745.41000000,989.54892200
2020-05-18 22:30:00,9745.00000000,9747.00000000,9705.46000000,9723.88000000,682.60047000
2020-05-18 23:00:00,9723.79000000,9755.00000000,9695.51000000,9735.99000000,1342.04379300
2020-05-18 23:30:00,9736.17000000,9748.59000000,9714.01000000,9733.93000000,719.11832400
2020-05-19 00:00:00,9733.93000000,9742.95000000,9583.15000000,9592.03000000,3046.31734600
2020-05-19 00:30:00,9592.89000000,9643.32000000,9574.06000000,9640.01000000,1506.59985900
2020-05-19 01:00:00,9640.00000000,9655.00000000,9625.00000000,9637.26000000,636.53300100
2020-05-19 01:30:00,9637.27000000,9667.89000000,9626.00000000,9651.27000000,717.41279200
2020-05-19 02:00:00,9651.67000000,9655.71000000,9535.00000000,9611.75000000,2200.19340200
2020-05-19 02:30:00,9611.75000000,9625.00000000,9565.00000000,9612.43000000,1127.95737200
2020-05-19 03:00:00,9612.43000000,9634.00000000,9600.00000000,9608.78000000,893.78864500
2020-05-19 03:30:00,9607.96000000,9610.92000000,9493.03000000,9530.00000000,2626.52029200
2020-05-19 04:00:00,9530.51000000,9557.39000000,9474.00000000,9553.49000000,2089.46578800
2020-05-19 04:30:00,9553.49000000,9579.58000000,9529.93000000,9537.78000000,1196.86400000
2020-05-19 05:00:00,9536.82000000,9579.25000000,9526.38000000,9528.01000000,1064.61435800
2020-05-19 05:30:00,9528.02000000,9607.68000000,9527.64000000,9603.09000000,1197.07311000
2020-05-19 06:00:00,9603.09000000,9618.00000000,9582.86000000,9595.00000000,649.70844700
2020-05-19 06:30:00,9594.99000000,9625.00000000,9584.35000000,9585.97000000,837.20238500
2020-05-19 07:00:00,9586.18000000,9622.44000000,9580.93000000,9593.04000000,816.80523600
2020-05-19 07:30:00,9593.04000000,9608.63000000,9550.00000000,9573.99000000,1059.69624600
2020-05-19 08:00:00,9573.99000000,9820.00000000,9570.11000000,9780.00000000,6389.11687200
2020-05-19 08:30:00,9780.00000000,9829.00000000,9761.00000000,9803.94000000,3648.34333100
2020-05-19 09:00:00,9804.07000000,9820.00000000,9768.00000000,9783.14000000,2410.05678100
2020-05-19 09:30:00,9782.94000000,9813.99000000,9777.07000000,9792.00000000,1700.95200900
2020-05-19 10:00:00,9792.00000000,9799.00000000,9756.00000000,9794.00000000,1402.87233300
2020-05-19 10:30:00,9794.07000000,9806.59000000,9778.49000000,9792.99000000,1098.90884000
2020-05-19 11:00:00,9792.99000000,9897.21000000,9734.00000000,9773.19000000,4857.33613500
2020-05-19 11:30:00,9772.98000000,9798.18000000,9696.00000000,9751.98000000,2832.82926800
2020-05-19 12:00:00,9752.24000000,9762.00000000,9625.00000000,9671.69000000,3612.73809700
2020-05-19 12:30:00,9672.27000000,9694.99000000,9561.00000000,9619.54000000,3596.67888400
2020-05-19 13:00:00,9619.53000000,9687.49000000,9610.00000000,9671.94000000,1534.76848800
